ticker,period,period_type,is_estimate,metric,value,name
221800,2025.12,annual,0,bps,3123.0,유투바이오
221800,2026.12,annual,1,bps,,유투바이오
221800,2025.03,quarterly,0,bps,,유투바이오
221800,2025.06,quarterly,0,bps,3038.0,유투바이오
221800,2025.09,quarterly,0,bps,2976.0,유투바이오
221800,2025.12,quarterly,0,bps,3123.0,유투바이오
221800,2026.03,quarterly,0,bps,3332.0,유투바이오
221800,2026.06,quarterly,1,bps,,유투바이오
221800,2023.12,annual,0,pbr,1.57,유투바이오
221800,2024.12,annual,0,pbr,0.87,유투바이오
221800,2025.12,annual,0,pbr,1.26,유투바이오
221800,2026.12,annual,1,pbr,,유투바이오
221800,2025.03,quarterly,0,pbr,,유투바이오
221800,2025.06,quarterly,0,pbr,0.96,유투바이오
221800,2025.09,quarterly,0,pbr,1.09,유투바이오
221800,2025.12,quarterly,0,pbr,1.26,유투바이오
221800,2026.03,quarterly,0,pbr,5.7,유투바이오
221800,2026.06,quarterly,1,pbr,,유투바이오
221800,2023.12,annual,0,dps,30.0,유투바이오
221800,2024.12,annual,0,dps,,유투바이오
221800,2025.12,annual,0,dps,100.0,유투바이오
221800,2026.12,annual,1,dps,,유투바이오
221800,2025.03,quarterly,0,dps,,유투바이오
221800,2025.06,quarterly,0,dps,,유투바이오
221800,2025.09,quarterly,0,dps,,유투바이오
221800,2025.12,quarterly,0,dps,100.0,유투바이오
221800,2026.03,quarterly,0,dps,,유투바이오
221800,2026.06,quarterly,1,dps,,유투바이오
221800,2023.12,annual,0,dividend_yield,0.57,유투바이오
221800,2024.12,annual,0,dividend_yield,,유투바이오
221800,2025.12,annual,0,dividend_yield,2.55,유투바이오
221800,2026.12,annual,1,dividend_yield,,유투바이오
221800,2025.03,quarterly,0,dividend_yield,,유투바이오
221800,2025.06,quarterly,0,dividend_yield,,유투바이오
221800,2025.09,quarterly,0,dividend_yield,,유투바이오
221800,2025.12,quarterly,0,dividend_yield,2.55,유투바이오
221800,2026.03,quarterly,0,dividend_yield,,유투바이오
221800,2026.06,quarterly,1,dividend_yield,,유투바이오
221800,2023.12,annual,0,payout_ratio,52.43,유투바이오
221800,2024.12,annual,0,payout_ratio,,유투바이오
221800,2025.12,annual,0,payout_ratio,-82.48,유투바이오
221800,2026.12,annual,1,payout_ratio,,유투바이오
221800,2025.03,quarterly,0,payout_ratio,,유투바이오
221800,2025.06,quarterly,0,payout_ratio,,유투바이오
221800,2025.09,quarterly,0,payout_ratio,,유투바이오
221800,2025.12,quarterly,0,payout_ratio,-199.5,유투바이오
221800,2026.03,quarterly,0,payout_ratio,,유투바이오
221800,2026.06,quarterly,1,payout_ratio,,유투바이오
214370,2023.12,annual,0,revenue,792.0,케어젠
214370,2024.12,annual,0,revenue,826.0,케어젠
214370,2025.12,annual,0,revenue,728.0,케어젠
214370,2026.12,annual,1,revenue,,케어젠
214370,2025.03,quarterly,0,revenue,213.0,케어젠
214370,2025.06,quarterly,0,revenue,181.0,케어젠
214370,2025.09,quarterly,0,revenue,171.0,케어젠
214370,2025.12,quarterly,0,revenue,163.0,케어젠
214370,2026.03,quarterly,0,revenue,227.0,케어젠
214370,2026.06,quarterly,1,revenue,,케어젠
214370,2023.12,annual,0,operating_profit,404.0,케어젠
214370,2024.12,annual,0,operating_profit,342.0,케어젠
214370,2025.12,annual,0,operating_profit,204.0,케어젠
214370,2026.12,annual,1,operating_profit,,케어젠
214370,2025.03,quarterly,0,operating_profit,102.0,케어젠
214370,2025.06,quarterly,0,operating_profit,74.0,케어젠
214370,2025.09,quarterly,0,operating_profit,99.0,케어젠
214370,2025.12,quarterly,0,operating_profit,-71.0,케어젠
214370,2026.03,quarterly,0,operating_profit,102.0,케어젠
214370,2026.06,quarterly,1,operating_profit,,케어젠
214370,2023.12,annual,0,net_profit,399.0,케어젠
214370,2024.12,annual,0,net_profit,323.0,케어젠
214370,2025.12,annual,0,net_profit,201.0,케어젠
214370,2026.12,annual,1,net_profit,,케어젠
214370,2025.03,quarterly,0,net_profit,84.0,케어젠
214370,2025.06,quarterly,0,net_profit,48.0,케어젠
214370,2025.09,quarterly,0,net_profit,102.0,케어젠
214370,2025.12,quarterly,0,net_profit,-33.0,케어젠
214370,2026.03,quarterly,0,net_profit,117.0,케어젠
214370,2026.06,quarterly,1,net_profit,,케어젠
214370,2023.12,annual,0,op_margin,50.98,케어젠
214370,2024.12,annual,0,op_margin,41.47,케어젠
214370,2025.12,annual,0,op_margin,28.02,케어젠
214370,2026.12,annual,1,op_margin,,케어젠
214370,2025.03,quarterly,0,op_margin,47.75,케어젠
214370,2025.06,quarterly,0,op_margin,41.08,케어젠
214370,2025.09,quarterly,0,op_margin,57.73,케어젠
214370,2025.12,quarterly,0,op_margin,-43.37,케어젠
214370,2026.03,quarterly,0,op_margin,44.98,케어젠
214370,2026.06,quarterly,1,op_margin,,케어젠
214370,2023.12,annual,0,net_margin,50.41,케어젠
214370,2024.12,annual,0,net_margin,39.13,케어젠
214370,2025.12,annual,0,net_margin,27.61,케어젠
214370,2026.12,annual,1,net_margin,,케어젠
214370,2025.03,quarterly,0,net_margin,39.59,케어젠
214370,2025.06,quarterly,0,net_margin,26.46,케어젠
214370,2025.09,quarterly,0,net_margin,59.43,케어젠
214370,2025.12,quarterly,0,net_margin,-20.12,케어젠
214370,2026.03,quarterly,0,net_margin,51.51,케어젠
214370,2026.06,quarterly,1,net_margin,,케어젠
214370,2023.12,annual,0,roe,18.02,케어젠
214370,2024.12,annual,0,roe,14.35,케어젠
214370,2025.12,annual,0,roe,9.23,케어젠
214370,2026.12,annual,1,roe,,케어젠
214370,2025.03,quarterly,0,roe,14.56,케어젠
214370,2025.06,quarterly,0,roe,13.62,케어젠
214370,2025.09,quarterly,0,roe,13.04,케어젠
214370,2025.12,quarterly,0,roe,9.23,케어젠
214370,2026.03,quarterly,0,roe,10.96,케어젠
214370,2026.06,quarterly,1,roe,,케어젠
214370,2023.12,annual,0,debt_ratio,8.79,케어젠
214370,2024.12,annual,0,debt_ratio,7.95,케어젠
214370,2025.12,annual,0,debt_ratio,8.85,케어젠
214370,2026.12,annual,1,debt_ratio,,케어젠
214370,2025.03,quarterly,0,debt_ratio,17.97,케어젠
214370,2025.06,quarterly,0,debt_ratio,7.89,케어젠
214370,2025.09,quarterly,0,debt_ratio,8.58,케어젠
214370,2025.12,quarterly,0,debt_ratio,8.85,케어젠
214370,2026.03,quarterly,0,debt_ratio,14.41,케어젠
214370,2026.06,quarterly,1,debt_ratio,,케어젠
214370,2023.12,annual,0,quick_ratio,1126.08,케어젠
214370,2024.12,annual,0,quick_ratio,484.87,케어젠
214370,2025.12,annual,0,quick_ratio,481.59,케어젠
214370,2026.12,annual,1,quick_ratio,,케어젠
214370,2025.03,quarterly,0,quick_ratio,185.4,케어젠
214370,2025.06,quarterly,0,quick_ratio,873.88,케어젠
214370,2025.09,quarterly,0,quick_ratio,620.28,케어젠
214370,2025.12,quarterly,0,quick_ratio,481.59,케어젠
214370,2026.03,quarterly,0,quick_ratio,243.96,케어젠
214370,2026.06,quarterly,1,quick_ratio,,케어젠
214370,2023.12,annual,0,retention,5417.99,케어젠
214370,2024.12,annual,0,retention,5434.14,케어젠
214370,2025.12,annual,0,retention,5228.76,케어젠
214370,2026.12,annual,1,retention,,케어젠
214370,2025.03,quarterly,0,retention,5227.15,케어젠
214370,2025.06,quarterly,0,retention,5316.42,케어젠
214370,2025.09,quarterly,0,retention,5289.85,케어젠
214370,2025.12,quarterly,0,retention,5228.76,케어젠
214370,2026.03,quarterly,0,retention,5264.51,케어젠
214370,2026.06,quarterly,1,retention,,케어젠
214370,2023.12,annual,0,eps,743.0,케어젠
214370,2024.12,annual,0,eps,602.0,케어젠
214370,2025.12,annual,0,eps,374.0,케어젠
214370,2026.12,annual,1,eps,,케어젠
214370,2025.03,quarterly,0,eps,157.0,케어젠
214370,2025.06,quarterly,0,eps,89.0,케어젠
214370,2025.09,quarterly,0,eps,189.0,케어젠
214370,2025.12,quarterly,0,eps,-61.0,케어젠
214370,2026.03,quarterly,0,eps,218.0,케어젠
214370,2026.06,quarterly,1,eps,,케어젠
214370,2023.12,annual,0,per,36.99,케어젠
214370,2024.12,annual,0,per,47.87,케어젠
214370,2025.12,annual,0,per,191.89,케어젠
214370,2026.12,annual,1,per,,케어젠
214370,2025.03,quarterly,0,per,43.1,케어젠
214370,2025.06,quarterly,0,per,61.35,케어젠
214370,2025.09,quarterly,0,per,118.02,케어젠
214370,2025.12,quarterly,0,per,191.89,케어젠
214370,2026.03,quarterly,0,per,208.76,케어젠
214370,2026.06,quarterly,1,per,,케어젠
214370,2023.12,annual,0,bps,4626.0,케어젠
214370,2024.12,annual,0,bps,4563.0,케어젠
214370,2025.12,annual,0,bps,4348.0,케어젠
214370,2026.12,annual,1,bps,,케어젠
214370,2025.03,quarterly,0,bps,4336.0,케어젠
214370,2025.06,quarterly,0,bps,4438.0,케어젠
