ticker,period,period_type,is_estimate,metric,value,name,sector
005930,2024.12,quarterly,0,retention,41772.84,삼성전자,반도체_메모리
005930,2025.03,quarterly,0,retention,42056.84,삼성전자,반도체_메모리
005930,2025.06,quarterly,0,retention,42340.19,삼성전자,반도체_메모리
005930,2025.09,quarterly,0,retention,43418.06,삼성전자,반도체_메모리
005930,2025.12,quarterly,0,retention,45296.17,삼성전자,반도체_메모리
005930,2026.03,quarterly,1,retention,,삼성전자,반도체_메모리
005930,2023.12,annual,0,eps,2131.0,삼성전자,반도체_메모리
005930,2024.12,annual,0,eps,4950.0,삼성전자,반도체_메모리
005930,2025.12,annual,0,eps,6564.0,삼성전자,반도체_메모리
005930,2026.12,annual,1,eps,36745.0,삼성전자,반도체_메모리
005930,2024.12,quarterly,0,eps,1115.0,삼성전자,반도체_메모리
005930,2025.03,quarterly,0,eps,1186.0,삼성전자,반도체_메모리
005930,2025.06,quarterly,0,eps,733.0,삼성전자,반도체_메모리
005930,2025.09,quarterly,0,eps,1783.0,삼성전자,반도체_메모리
005930,2025.12,quarterly,0,eps,2864.0,삼성전자,반도체_메모리
005930,2026.03,quarterly,1,eps,5298.0,삼성전자,반도체_메모리
005930,2023.12,annual,0,per,36.84,삼성전자,반도체_메모리
005930,2024.12,annual,0,per,10.75,삼성전자,반도체_메모리
005930,2025.12,annual,0,per,18.27,삼성전자,반도체_메모리
005930,2026.12,annual,1,per,6.11,삼성전자,반도체_메모리
005930,2024.12,quarterly,0,per,10.75,삼성전자,반도체_메모리
005930,2025.03,quarterly,0,per,11.2,삼성전자,반도체_메모리
005930,2025.06,quarterly,0,per,13.36,삼성전자,반도체_메모리
005930,2025.09,quarterly,0,per,17.42,삼성전자,반도체_메모리
005930,2025.12,quarterly,0,per,18.27,삼성전자,반도체_메모리
005930,2026.03,quarterly,1,per,35.15,삼성전자,반도체_메모리
005930,2023.12,annual,0,bps,52002.0,삼성전자,반도체_메모리
005930,2024.12,annual,0,bps,57981.0,삼성전자,반도체_메모리
005930,2025.12,annual,0,bps,63997.0,삼성전자,반도체_메모리
005930,2026.12,annual,1,bps,99252.0,삼성전자,반도체_메모리
005930,2024.12,quarterly,0,bps,57981.0,삼성전자,반도체_메모리
005930,2025.03,quarterly,0,bps,59059.0,삼성전자,반도체_메모리
005930,2025.06,quarterly,0,bps,58135.0,삼성전자,반도체_메모리
005930,2025.09,quarterly,0,bps,60632.0,삼성전자,반도체_메모리
005930,2025.12,quarterly,0,bps,63997.0,삼성전자,반도체_메모리
005930,2026.03,quarterly,1,bps,,삼성전자,반도체_메모리
005930,2023.12,annual,0,pbr,1.51,삼성전자,반도체_메모리
005930,2024.12,annual,0,pbr,0.92,삼성전자,반도체_메모리
005930,2025.12,annual,0,pbr,1.87,삼성전자,반도체_메모리
005930,2026.12,annual,1,pbr,2.26,삼성전자,반도체_메모리
005930,2024.12,quarterly,0,pbr,0.92,삼성전자,반도체_메모리
005930,2025.03,quarterly,0,pbr,0.98,삼성전자,반도체_메모리
005930,2025.06,quarterly,0,pbr,1.03,삼성전자,반도체_메모리
005930,2025.09,quarterly,0,pbr,1.38,삼성전자,반도체_메모리
005930,2025.12,quarterly,0,pbr,1.87,삼성전자,반도체_메모리
005930,2026.03,quarterly,1,pbr,,삼성전자,반도체_메모리
005930,2023.12,annual,0,dps,1444.0,삼성전자,반도체_메모리
005930,2024.12,annual,0,dps,1446.0,삼성전자,반도체_메모리
005930,2025.12,annual,0,dps,1668.0,삼성전자,반도체_메모리
005930,2026.12,annual,1,dps,3292.0,삼성전자,반도체_메모리
005930,2024.12,quarterly,0,dps,363.0,삼성전자,반도체_메모리
005930,2025.03,quarterly,0,dps,365.0,삼성전자,반도체_메모리
005930,2025.06,quarterly,0,dps,367.0,삼성전자,반도체_메모리
005930,2025.09,quarterly,0,dps,370.0,삼성전자,반도체_메모리
005930,2025.12,quarterly,0,dps,566.0,삼성전자,반도체_메모리
005930,2026.03,quarterly,1,dps,,삼성전자,반도체_메모리
005930,2023.12,annual,0,dividend_yield,1.84,삼성전자,반도체_메모리
005930,2024.12,annual,0,dividend_yield,2.72,삼성전자,반도체_메모리
005930,2025.12,annual,0,dividend_yield,1.39,삼성전자,반도체_메모리
005930,2026.12,annual,1,dividend_yield,,삼성전자,반도체_메모리
005930,2024.12,quarterly,0,dividend_yield,0.68,삼성전자,반도체_메모리
005930,2025.03,quarterly,0,dividend_yield,0.63,삼성전자,반도체_메모리
005930,2025.06,quarterly,0,dividend_yield,0.61,삼성전자,반도체_메모리
005930,2025.09,quarterly,0,dividend_yield,0.44,삼성전자,반도체_메모리
005930,2025.12,quarterly,0,dividend_yield,0.47,삼성전자,반도체_메모리
005930,2026.03,quarterly,1,dividend_yield,,삼성전자,반도체_메모리
005930,2023.12,annual,0,payout_ratio,67.78,삼성전자,반도체_메모리
005930,2024.12,annual,0,payout_ratio,29.18,삼성전자,반도체_메모리
005930,2025.12,annual,0,payout_ratio,25.1,삼성전자,반도체_메모리
005930,2026.12,annual,1,payout_ratio,,삼성전자,반도체_메모리
005930,2024.12,quarterly,0,payout_ratio,32.4,삼성전자,반도체_메모리
005930,2025.03,quarterly,0,payout_ratio,30.48,삼성전자,반도체_메모리
005930,2025.06,quarterly,0,payout_ratio,49.73,삼성전자,반도체_메모리
005930,2025.09,quarterly,0,payout_ratio,20.43,삼성전자,반도체_메모리
005930,2025.12,quarterly,0,payout_ratio,19.46,삼성전자,반도체_메모리
005930,2026.03,quarterly,1,payout_ratio,,삼성전자,반도체_메모리
000660,2023.12,annual,0,revenue,327657.0,SK하이닉스,반도체_메모리
000660,2024.12,annual,0,revenue,661930.0,SK하이닉스,반도체_메모리
000660,2025.12,annual,0,revenue,971467.0,SK하이닉스,반도체_메모리
000660,2026.12,annual,1,revenue,2888649.0,SK하이닉스,반도체_메모리
000660,2024.12,quarterly,0,revenue,197670.0,SK하이닉스,반도체_메모리
000660,2025.03,quarterly,0,revenue,176391.0,SK하이닉스,반도체_메모리
000660,2025.06,quarterly,0,revenue,222320.0,SK하이닉스,반도체_메모리
000660,2025.09,quarterly,0,revenue,244489.0,SK하이닉스,반도체_메모리
000660,2025.12,quarterly,0,revenue,328267.0,SK하이닉스,반도체_메모리
000660,2026.03,quarterly,1,revenue,501046.0,SK하이닉스,반도체_메모리
000660,2023.12,annual,0,operating_profit,-77303.0,SK하이닉스,반도체_메모리
000660,2024.12,annual,0,operating_profit,234673.0,SK하이닉스,반도체_메모리
000660,2025.12,annual,0,operating_profit,472063.0,SK하이닉스,반도체_메모리
000660,2026.12,annual,1,operating_profit,2116224.0,SK하이닉스,반도체_메모리
000660,2024.12,quarterly,0,operating_profit,80828.0,SK하이닉스,반도체_메모리
000660,2025.03,quarterly,0,operating_profit,74405.0,SK하이닉스,반도체_메모리
000660,2025.06,quarterly,0,operating_profit,92129.0,SK하이닉스,반도체_메모리
000660,2025.09,quarterly,0,operating_profit,113834.0,SK하이닉스,반도체_메모리
000660,2025.12,quarterly,0,operating_profit,191696.0,SK하이닉스,반도체_메모리
000660,2026.03,quarterly,1,operating_profit,348753.0,SK하이닉스,반도체_메모리
