ticker,name,updated,actual_period,est_period,q_period,q_est_period,per,pbr,eps,bps,roe,op_margin,net_margin,dividend_yield,payout_ratio,debt_ratio,revenue,operating_profit,net_profit,per_est,pbr_est,eps_est,bps_est,roe_est,op_margin_est,net_margin_est,dividend_yield_est,payout_ratio_est,debt_ratio_est,revenue_est,operating_profit_est,net_profit_est,per_q,pbr_q,eps_q,bps_q,roe_q,op_margin_q,net_margin_q,dividend_yield_q,payout_ratio_q,debt_ratio_q,revenue_q,operating_profit_q,net_profit_q,per_q_est,pbr_q_est,eps_q_est,bps_q_est,roe_q_est,op_margin_q_est,net_margin_q_est,dividend_yield_q_est,payout_ratio_q_est,debt_ratio_q_est,revenue_q_est,operating_profit_q_est,net_profit_q_est
376270,HEM파마,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-13.55,65.72,-3384.0,698.0,-153.3,-120.06,-182.78,,,893.97,130.0,-156.0,-237.0,,,,,,,,,,,,,,-13.55,65.72,-2067.0,698.0,-153.3,-184.09,-396.67,,,893.97,37.0,-68.0,-146.0,,,,,,,,,,,,,
006345,대원전선우,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,33.02,2.44,113.0,1527.0,7.45,1.5,2.07,,,127.85,6245.0,94.0,129.0,,,,,,,,,,,,,,33.02,2.44,-14.0,1527.0,7.45,-3.28,0.3,,,127.85,1671.0,-55.0,5.0,,,,,,,,,,,,,
006340,대원전선,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,33.02,2.44,113.0,1527.0,7.45,1.5,2.07,,,127.85,6245.0,94.0,129.0,,,,,,,,,,,,,,33.02,2.44,-14.0,1527.0,7.45,-3.28,0.3,,,127.85,1671.0,-55.0,5.0,,,,,,,,,,,,,
189860,서전기전,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,4.33,0.78,715.0,3959.0,19.86,-12.92,10.19,,,79.38,681.0,-88.0,69.0,,,,,,,,,,,,,,4.33,0.78,-253.0,3959.0,19.86,-1.15,-7.59,,,79.38,323.0,-4.0,-24.0,,,,,,,,,,,,,
006910,보성파워텍,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,12.6,2.31,413.0,2253.0,20.26,18.18,13.77,,,20.91,1475.0,268.0,203.0,,,,,,,,,,,,,,12.6,2.31,78.0,2253.0,20.26,14.5,10.22,,,20.91,374.0,54.0,38.0,,,,,,,,,,,,,
000500,가온전선,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,25.61,2.82,3217.0,29244.0,10.96,3.11,2.02,0.12,3.22,184.82,25457.0,792.0,514.0,,,,,,,,,,,,,,25.61,2.82,186.0,29244.0,10.96,1.29,0.5,0.12,53.8,184.82,6137.0,79.0,31.0,,,,,,,,,,,,,
237750,피앤씨테크,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-1.4,0.57,-2758.0,6740.0,-32.08,0.07,-64.89,2.59,-3.63,87.9,276.0,0.0,-179.0,,,,,,,,,,,,,,-1.4,0.57,-2833.0,6740.0,-32.08,-5.59,-323.89,2.59,-3.53,87.9,57.0,-3.0,-184.0,,,,,,,,,,,,,
010120,LS ELECTRIC,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,48.15,6.61,1911.0,13920.0,14.67,8.59,5.72,3.26,31.13,131.48,49658.0,4264.0,2843.0,69.77,13.76,3246.0,16464.0,21.56,10.58,8.02,,,,60684.0,6422.0,4865.0,48.15,6.61,555.0,13920.0,14.67,8.51,5.49,3.26,107.13,131.48,15244.0,1297.0,838.0,283.2,,659.0,,,9.94,7.51,,,,13398.0,1332.0,1007.0
479960,위너스일렉,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,14.87,1.76,703.0,5948.0,14.15,16.87,14.89,4.78,73.65,22.51,312.0,53.0,47.0,,,,,,,,,,,,,,14.87,1.76,279.0,5948.0,14.15,29.15,23.84,4.78,179.46,22.51,80.0,23.0,19.0,,,,,,,,,,,,,
298040,효성중공업,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,31.94,7.05,55755.0,252555.0,24.41,12.52,8.43,0.42,13.43,190.31,59685.0,7470.0,5028.0,41.49,10.75,85605.0,330545.0,29.4,15.47,11.09,,,,70065.0,10840.0,7771.0,31.94,7.05,18769.0,252555.0,24.41,14.95,9.19,0.42,39.91,190.31,17430.0,2605.0,1601.0,210.44,,14161.0,,,12.66,8.82,,,,13296.0,1683.0,1173.0
015860,일진홀딩스,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,9.45,0.59,713.0,11438.0,7.12,6.38,3.92,2.97,26.14,103.38,22827.0,1456.0,896.0,,,,,,,,,,,,,,9.14,0.59,-56.0,11438.0,7.36,6.51,1.77,2.97,-332.6,103.38,6798.0,443.0,120.0,,,,,,,,,,,,,
033100,제룡전기,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,9.6,2.36,3655.0,14901.0,26.93,29.92,26.21,3.13,30.09,11.52,2240.0,670.0,587.0,,,,,,,,,,,,,,9.6,2.36,553.0,14901.0,26.93,18.35,20.32,3.13,198.95,11.52,437.0,80.0,89.0,,,,,,,,,,,,,
294630,서남,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,-16.19,7.21,-165.0,369.0,-45.17,-113.92,-117.38,,,70.38,34.0,-39.0,-40.0,,,,,,,,,,,,,,-16.19,7.21,-54.0,369.0,-45.17,-120.72,-125.67,,,70.38,10.0,-13.0,-13.0,,,,,,,,,,,,,
103590,일진전기,2026-04-26 17:50,2025.12,2026.12,2025.12,2026.03,24.97,4.41,2179.0,12347.0,19.08,7.4,5.08,0.92,22.95,159.23,20446.0,1512.0,1039.0,31.05,6.38,3107.0,15123.0,22.63,9.01,6.64,,,,22943.0,2068.0,1524.0,24.97,4.41,570.0,12347.0,19.08,7.2,4.43,0.92,87.7,159.23,6142.0,442.0,272.0,151.87,,635.0,,,8.59,6.24,,,,5252.0,451.0,328.0
