ticker,name,sector,updated,actual_period,est_period,q_period,q_est_period,per,pbr,eps,bps,roe,op_margin,net_margin,dividend_yield,payout_ratio,debt_ratio,revenue,operating_profit,net_profit,per_est,pbr_est,eps_est,bps_est,roe_est,op_margin_est,net_margin_est,dividend_yield_est,payout_ratio_est,debt_ratio_est,revenue_est,operating_profit_est,net_profit_est,per_q,pbr_q,eps_q,bps_q,roe_q,op_margin_q,net_margin_q,dividend_yield_q,payout_ratio_q,debt_ratio_q,revenue_q,operating_profit_q,net_profit_q,per_q_est,pbr_q_est,eps_q_est,bps_q_est,roe_q_est,op_margin_q_est,net_margin_q_est,dividend_yield_q_est,payout_ratio_q_est,debt_ratio_q_est,revenue_q_est,operating_profit_q_est,net_profit_q_est
361610,SKIET,2차전지_분리막,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,-8.95,0.79,-2799.0,31808.0,-8.58,-94.08,-80.73,,,68.82,2619.0,-2464.0,-2114.0,-7.34,0.66,-2614.0,29100.0,-8.58,-122.41,-108.62,,,,1968.0,-2410.0,-2138.0,-8.95,0.79,-1598.0,31808.0,-8.58,-181.19,-312.42,,,68.82,418.0,-758.0,-1307.0,-30.56,,-864.0,,,-166.26,-125.13,,,,427.0,-710.0,-534.0
393890,더블유씨피,2차전지_분리막,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,-1.3,0.24,-4789.0,26430.0,-17.4,-115.19,-146.25,,,117.49,1108.0,-1276.0,-1621.0,-6.98,0.6,-2134.0,24929.0,-8.31,-18.73,-31.1,,,,2324.0,-435.0,-723.0,-1.3,0.24,-1615.0,26430.0,-17.4,-147.88,-200.99,,,117.49,272.0,-402.0,-546.0,-23.17,,-717.0,,,-49.49,-54.68,,,,416.0,-206.0,-228.0
006650,대한유화,2차전지_분리막,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,29.68,0.49,4878.0,297102.0,1.74,1.57,1.67,0.9,25.32,29.73,33478.0,527.0,559.0,7.46,0.41,17251.0,313698.0,5.95,5.33,4.42,,,,39149.0,2084.0,1730.0,29.68,0.49,-395.0,297102.0,1.74,2.86,0.32,0.9,-312.95,29.73,8495.0,243.0,27.0,44.47,,3585.0,,,7.07,6.86,,,,9608.0,679.0,659.0
348370,엔켐,2차전지_전해질,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,-19.95,2.92,-3152.0,21543.0,-14.37,-25.06,-22.56,,,130.25,3128.0,-784.0,-706.0,,,,,,,,,,,,,,-19.95,2.92,-3229.0,21543.0,-14.37,-32.44,-78.66,,,130.25,902.0,-293.0,-710.0,,,,,,,,,,,,,
025900,동화기업,2차전지_전해질,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,-9.36,0.48,-905.0,17795.0,-5.43,-1.66,-6.74,,,157.92,8296.0,-138.0,-559.0,-20.53,0.39,-417.0,22103.0,-2.31,-0.5,-2.76,,,,9407.0,-47.0,-260.0,-9.36,0.48,-438.0,17795.0,-5.43,-1.84,-10.73,,,157.92,2207.0,-41.0,-237.0,-53.09,,-214.0,,,-2.15,,,,,2050.0,-44.0,
036830,솔브레인홀딩스,2차전지_전해질,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,1.6,0.43,23248.0,86410.0,32.06,1.59,89.03,1.34,2.1,36.52,5566.0,89.0,4956.0,,,,,,,,,,,,,,1.6,0.43,18328.0,86410.0,32.06,-13.08,276.96,1.34,2.66,36.52,1402.0,-184.0,3884.0,,,,,,,,,,,,,
056190,에스에프에이,2차전지_장비,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,15.25,0.73,1534.0,32160.0,6.11,5.26,3.19,4.06,48.47,49.77,16310.0,859.0,521.0,13.25,0.82,2116.0,34105.0,8.22,6.71,4.87,,,,16622.0,1116.0,810.0,15.25,0.73,42.0,32160.0,6.11,2.28,1.13,2.44,1060.99,49.77,3936.0,90.0,44.0,81.56,,390.0,,,7.06,,,,,3646.0,258.0,
137400,피엔티,2차전지_장비,2026-05-22 05:01,2025.12,2026.12,2026.03,2026.06,13.01,1.37,2890.0,27402.0,11.37,12.84,9.33,0.53,6.8,146.08,7449.0,956.0,695.0,9.94,1.34,4264.0,31679.0,14.65,13.64,11.15,,,,9238.0,1260.0,1030.0,14.27,1.66,827.0,28534.0,12.68,8.66,19.84,0.53,12.05,149.63,1014.0,88.0,201.0,113.38,,374.0,,,10.86,,,,,1759.0,191.0,
299030,하나기술,2차전지_장비,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,-36.91,2.13,-726.0,12570.0,-5.85,-0.04,-6.19,,,161.73,938.0,-0.0,-58.0,15.55,1.85,1351.0,11370.0,11.29,5.68,5.57,,,,1938.0,110.0,108.0,-36.91,2.13,39.0,12570.0,-5.85,2.83,3.14,,,161.73,98.0,3.0,3.0,-79.52,,-350.0,,,-40.58,-40.58,,,,69.0,-28.0,-28.0
365340,성일하이텍,2차전지_리사이클링,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,-6.43,3.94,-6364.0,10382.0,-46.96,-28.02,-41.38,,,367.58,1946.0,-545.0,-805.0,-197.87,6.26,-307.0,9713.0,-3.09,0.77,-1.22,,,,3205.0,25.0,-39.0,-6.43,3.94,-1057.0,10382.0,-46.96,-17.47,-26.19,,,367.58,534.0,-93.0,-140.0,-147.49,,-522.0,,,-7.54,-10.59,,,,623.0,-47.0,-66.0
005420,코스모화학,2차전지_리사이클링,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,-18.16,2.5,-790.0,5730.0,-13.52,-2.41,-4.66,,,99.95,6642.0,-160.0,-310.0,,,,,,,,,,,,,,-18.16,2.5,-364.0,5730.0,-13.52,-4.21,-9.02,,,99.95,1735.0,-73.0,-157.0,,,,,,,,,,,,,
107600,새빗켐,2차전지_리사이클링,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,-8.77,3.59,-3299.0,8056.0,-36.71,-24.54,-47.01,0.29,-59.78,82.4,384.0,-94.0,-180.0,,,,,,,,,,,,,,-8.77,3.59,-1845.0,8056.0,-36.71,-23.94,-98.75,,,82.4,105.0,-25.0,-104.0,,,,,,,,,,,,,
207940,삼성바이오로직스,바이오_CDMO,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,63.79,10.52,26572.0,161142.0,19.44,45.41,39.16,,,48.44,45570.0,20692.0,17844.0,31.49,5.78,42462.0,231279.0,21.66,46.16,36.22,,,,54273.0,25050.0,19656.0,63.79,10.52,9236.0,161142.0,19.44,122.53,165.26,,,48.44,3086.0,3781.0,5100.0,,,,,,47.56,38.46,,,,13579.0,6458.0,5223.0
068270,셀트리온,바이오_CDMO,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,40.71,2.3,4446.0,78717.0,5.94,28.07,24.78,0.41,15.92,28.71,41625.0,11685.0,10315.0,27.34,2.14,6561.0,84023.0,8.28,33.28,27.79,,,,53023.0,17647.0,14734.0,40.71,2.3,2288.0,78717.0,5.94,35.72,39.69,0.41,31.03,28.71,13302.0,4752.0,5279.0,177.78,,1128.0,,,27.87,23.6,,,,11262.0,3138.0,2657.0
053030,바이넥스,바이오_CDMO,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,-151.77,2.55,-99.0,5881.0,-1.75,-2.69,-1.95,,,66.13,1685.0,-45.0,-33.0,118.19,1.66,76.0,5451.0,1.39,2.36,1.33,,,,1947.0,46.0,26.0,-151.77,2.55,-113.0,5881.0,-1.75,-16.34,-9.54,,,66.13,388.0,-63.0,-37.0,,,,,,0.91,,,,,442.0,4.0,
000100,유한양행,제약_전통,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,47.05,3.64,2389.0,30855.0,8.81,4.77,8.48,0.53,23.12,36.35,21866.0,1044.0,1853.0,43.54,2.52,1872.0,32360.0,6.4,5.74,6.07,,,,23469.0,1347.0,1426.0,47.05,3.64,1410.0,30855.0,8.81,4.78,20.17,0.53,39.21,36.35,5461.0,261.0,1101.0,346.15,,274.0,,,4.11,7.26,,,,5384.0,221.0,391.0
128940,한미약품,제약_전통,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,34.15,4.59,13235.0,98560.0,14.52,16.66,12.09,0.44,14.97,50.23,15475.0,2578.0,1871.0,28.99,3.72,14296.0,111571.0,13.74,16.21,12.28,,,,16422.0,2663.0,2017.0,34.15,4.59,3756.0,98560.0,14.52,19.23,12.48,0.44,52.74,50.23,4330.0,833.0,541.0,161.15,,3087.0,,,15.13,12.68,,,,3978.0,602.0,504.0
185750,종근당,제약_전통,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,14.76,1.09,5615.0,76180.0,8.17,4.76,4.6,0.6,8.5,78.89,16924.0,806.0,778.0,16.43,,5216.0,,,5.04,4.08,,,,17650.0,890.0,720.0,14.76,1.09,1924.0,76180.0,8.17,5.5,6.16,0.6,24.81,78.89,4268.0,235.0,263.0,64.57,,1282.0,,,5.05,,,,,4279.0,216.0,
196170,알테오젠,바이오_혁신신약,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,170.7,54.44,2633.0,8257.0,39.42,49.52,67.25,0.08,14.12,53.76,2159.0,1069.0,1452.0,69.89,27.67,5144.0,12993.0,48.44,61.17,61.16,,,,4674.0,2859.0,2859.0,170.7,54.44,1284.0,8257.0,39.42,30.44,115.38,0.08,28.89,53.76,645.0,196.0,744.0,,,,,,65.02,,,,,1155.0,751.0,
141080,리가켐바이오,바이오_혁신신약,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,-85.61,12.47,-2029.0,13930.0,-13.22,-75.23,-64.68,,,29.7,1416.0,-1065.0,-916.0,116.07,8.72,1191.0,15849.0,8.05,10.01,16.41,,,,2678.0,268.0,440.0,-85.61,12.47,-1491.0,13930.0,-13.22,-458.39,-405.01,,,29.7,160.0,-731.0,-646.0,,,,,,,,,,,,,
028300,HLB,바이오_혁신신약,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,-30.3,16.08,-1677.0,3159.0,-44.32,-123.81,-279.68,,,88.14,842.0,-1042.0,-2354.0,,,,,,,,,,,,,,-30.3,16.08,-193.0,3159.0,-44.32,-102.46,-102.23,,,88.14,287.0,-294.0,-293.0,,,,,,,,,,,,,
214150,클래시스,의료기기_미용,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,27.06,6.42,2014.0,8487.0,26.21,50.65,39.18,1.83,49.38,27.73,3368.0,1706.0,1320.0,17.13,4.55,2718.0,10224.0,29.11,47.02,38.13,,,,4671.0,2196.0,1781.0,27.06,6.42,651.0,8487.0,26.21,54.79,45.67,1.83,152.8,27.73,934.0,512.0,427.0,99.56,,558.0,,,48.7,40.59,,,,921.0,449.0,374.0
145720,덴티움,의료기기_미용,2026-05-22 05:01,2025.12,2026.12,2025.12,2026.03,31.16,0.71,1483.0,65218.0,2.94,18.5,4.71,1.3,31.53,66.21,3465.0,641.0,163.0,6.31,0.63,7357.0,74041.0,11.16,22.58,17.37,,,,3805.0,859.0,661.0,31.16,0.71,-450.0,65218.0,2.94,24.29,-4.61,1.3,-103.91,66.21,1091.0,265.0,-50.0,79.18,,645.0,,,14.37,9.09,,,,770.0,111.0,70.0
336570,원텍,의료기기_미용,2026-05-22 05:01,2025.12,2026.12,2026.03,2026.06,19.74,4.39,393.0,1764.0,24.79,32.95,22.46,0.65,12.67,38.04,1568.0,517.0,352.0,14.27,3.27,515.0,2246.0,25.9,31.04,24.04,,,,1922.0,597.0,462.0,18.06,3.7,116.0,1831.0,22.67,27.83,25.89,0.65,71.61,61.7,402.0,112.0,104.0,51.21,,144.0,,,34.94,28.9,,,,491.0,172.0,142.0
