date,sector,ticker,name,close,change_pct
20250423,2차전지_리사이클링,005420,코스모화학,15500,8.24
20250423,2차전지_리사이클링,107600,새빗켐,16500,2.74
20250423,2차전지_리사이클링,365340,성일하이텍,34800,9.61
20250423,2차전지_분리막,006650,대한유화,88300,3.27
20250423,2차전지_분리막,361610,SKIET,22450,3.7
20250423,2차전지_분리막,393890,더블유씨피,7860,8.56
20250423,2차전지_셀,006400,삼성SDI,190400,7.39
20250423,2차전지_셀,096770,SK이노베이션,95700,3.91
20250423,2차전지_셀,373220,LG에너지솔루션,349000,5.12
20250423,2차전지_양극재,003670,포스코퓨처엠,128725,6.67
20250423,2차전지_양극재,066970,엘앤에프,66700,12.29
20250423,2차전지_양극재,247540,에코프로비엠,101200,6.98
20250423,2차전지_음극재소재,014680,한솔케미칼,118400,4.13
20250423,2차전지_음극재소재,078600,대주전자재료,86600,10.04
20250423,2차전지_음극재소재,121600,나노신소재,56400,6.42
20250423,2차전지_장비,056190,에스에프에이,21100,2.18
20250423,2차전지_장비,137400,피엔티,41600,4.65
20250423,2차전지_장비,299030,하나기술,20200,3.96
20250423,2차전지_전해질,025900,동화기업,8620,5.12
20250423,2차전지_전해질,036830,솔브레인홀딩스,31900,4.08
20250423,2차전지_전해질,348370,엔켐,84600,10.01
20250423,AI_소프트웨어,064480,브리지텍,5400,-0.92
20250423,AI_소프트웨어,108860,셀바스AI,13710,-1.22
20250423,AI_소프트웨어,304100,솔트룩스,32750,-3.82
20250423,건설_대형,000720,현대건설,38450,0.39
20250423,건설_대형,006360,GS건설,16810,1.27
20250423,건설_대형,375500,DL이앤씨,40800,0.49
20250423,건설자재_가구,002380,KCC,247000,1.65
20250423,건설자재_가구,009240,한샘,40850,2.64
20250423,건설자재_가구,079430,현대리바트,7270,1.11
20250423,게임,036570,엔씨소프트,141800,4.42
20250423,게임,251270,넷마블,42950,0.35
20250423,게임,259960,크래프톤,373500,-1.45
20250423,광고_마케팅,010470,오리콤,6900,-1.85
20250423,광고_마케팅,030000,제일기획,18160,-0.16
20250423,광고_마케팅,214320,이노션,17860,0.39
20250423,기계_건설장비,017550,수산중공업,1877,1.19
20250423,기계_건설장비,241560,두산밥캣,45300,1.12
20250423,기계_건설장비,267270,HD건설기계,65000,-1.22
20250423,동물의약_사료,044960,이글벳,4400,0.11
20250423,동물의약_사료,054670,대한뉴팜,6970,-0.85
20250423,동물의약_사료,215380,우진비앤지,1541,1.58
20250423,디스플레이,034220,LG디스플레이,8480,3.92
20250423,디스플레이,213420,덕산네오룩스,29650,3.67
20250423,디스플레이,272290,이녹스첨단소재,23000,2.91
20250423,로봇,277810,레인보우로보틱스,286500,1.42
20250423,로봇,389500,에스비비테크,22500,0.0
20250423,로봇,454910,두산로보틱스,50900,3.46
20250423,미디어_방송,034120,SBS,18490,0.38
20250423,미디어_방송,035760,CJ ENM,56800,-0.35
20250423,미디어_방송,253450,스튜디오드래곤,43800,1.15
20250423,바이오_CDMO,053030,바이넥스,16420,1.17
20250423,바이오_CDMO,068270,셀트리온,154017,1.46
20250423,바이오_CDMO,207940,삼성바이오로직스,1568879,-0.84
20250423,바이오_혁신신약,028300,HLB,55900,4.49
20250423,바이오_혁신신약,141080,리가켐바이오,113700,1.16
20250423,바이오_혁신신약,196170,알테오젠,389000,0.0
20250423,반도체_메모리,000660,SK하이닉스,181000,4.14
20250423,반도체_메모리,005930,삼성전자,55700,1.27
20250423,반도체_메모리,042700,한미반도체,85600,14.29
20250423,반도체_소재,005290,동진쎄미켐,29650,1.02
20250423,반도체_소재,104830,원익머트리얼즈,19420,2.64
20250423,반도체_소재,357780,솔브레인,178800,1.19
20250423,반도체_장비,036930,주성엔지니어링,37450,7.93
20250423,반도체_장비,240810,원익IPS,22950,5.03
20250423,반도체_장비,319660,피에스케이,18700,3.77
20250423,반도체_후공정,033640,네패스,6900,2.68
20250423,반도체_후공정,036540,SFA반도체,3020,4.32
20250423,반도체_후공정,067310,하나마이크론,11490,4.36
20250423,방산,012450,한화에어로스페이스,801550,-1.93
20250423,방산,064350,현대로템,111500,-4.54
20250423,방산,079550,LIG넥스원,312000,0.16
20250423,보험,000810,삼성화재,361000,1.12
20250423,보험,005830,DB손해보험,88300,2.44
20250423,보험,032830,삼성생명,83000,0.97
20250423,비철금속,006260,LS,121800,2.61
20250423,비철금속,010130,고려아연,706000,-0.84
20250423,비철금속,103140,풍산,55600,1.83
20250423,수소_연료전지,089980,상아프론테크,15240,6.2
20250423,수소_연료전지,298050,효성첨단소재,176500,1.44
20250423,수소_연료전지,336260,두산퓨얼셀,15200,7.12
20250423,식품,004370,농심,397500,-1.61
20250423,식품,007310,오뚜기,401000,-0.25
20250423,식품,097950,CJ제일제당,241500,0.42
20250423,에너지_LPG_LNG,017940,E1,60500,0.0
20250423,에너지_LPG_LNG,018670,SK가스,234000,0.0
20250423,에너지_LPG_LNG,071320,지역난방공사,51200,-0.58
20250423,엔터,035900,JYP Ent.,63200,0.64
20250423,엔터,041510,에스엠,112500,-0.97
20250423,엔터,352820,하이브,230500,0.0
20250423,여행_호텔,008770,호텔신라,38550,1.72
20250423,여행_호텔,039130,하나투어,50700,0.6
20250423,여행_호텔,080160,모두투어,10830,0.19
20250423,외식_급식,017810,풀무원,15470,-1.34
20250423,외식_급식,031440,신세계푸드,31450,0.64
20250423,외식_급식,051500,CJ프레시웨이,23650,-0.84
20250423,원자력,032820,우리기술,1911,-0.21
20250423,원자력,034020,두산에너빌리티,25750,0.39
20250423,원자력,052690,한전기술,63100,0.32
20250423,유통_백화점,004170,신세계,149500,-2.22
20250423,유통_백화점,023530,롯데쇼핑,66200,-1.93
20250423,유통_백화점,069960,현대백화점,56300,-2.43
20250423,은행,055550,신한지주,48900,0.93
20250423,은행,086790,하나금융지주,60200,0.67
20250423,은행,105560,KB금융,85000,1.92
20250423,음료_주류,000080,하이트진로,19220,0.05
20250423,음료_주류,005300,롯데칠성,107500,0.94
20250423,음료_주류,271560,오리온,120800,0.67
20250423,의료AI,322510,제이엘케이,7240,0.98
20250423,의료AI,328130,루닛,50001,-1.66
20250423,의료AI,338220,뷰노,19100,0.26
20250423,의료기기_미용,145720,덴티움,74700,0.54
20250423,의료기기_미용,214150,클래시스,62500,-1.26
20250423,의료기기_미용,336570,원텍,7880,-3.79
20250423,의류_패션,020000,한섬,15410,1.25
20250423,의류_패션,093050,LF,14730,1.31
20250423,의류_패션,383220,F&F,69300,4.68
20250423,자동차_부품,012330,현대모비스,252000,4.56
20250423,자동차_부품,018880,한온시스템,3253,2.94
20250423,자동차_부품,204320,HL만도,36550,4.43
20250423,자동차_완성차,000270,기아,90000,3.69
20250423,자동차_완성차,003620,KG모빌리티,3490,0.0
20250423,자동차_완성차,005380,현대차,190000,2.37
20250423,전력_유틸리티,015760,한국전력,25200,-0.59
20250423,전력_유틸리티,036460,한국가스공사,38750,1.71
20250423,전력_유틸리티,051600,한전KPS,41500,-0.72
20250423,전자부품,009150,삼성전기,122400,2.51
20250423,전자부품,011070,LG이노텍,145500,4.9
20250423,전자부품,353200,대덕전자,14700,3.01
20250423,정보보안,049470,SGA,346,4.22
20250423,정보보안,053800,안랩,69900,1.3
20250423,정보보안,067920,이글루코퍼레이션,5400,0.0
20250423,정유,010950,S-Oil,52800,1.15
20250423,정유,078930,GS,38200,1.73
20250423,정유,096770,SK이노베이션,95700,3.91
20250423,제약_전통,000100,유한양행,116200,0.52
20250423,제약_전통,128940,한미약품,242000,1.04
20250423,제약_전통,185750,종근당,78900,0.51
20250423,제지,004540,깨끗한나라,2465,-4.09
20250423,제지,009580,무림P&P,3025,0.33
20250423,제지,213500,한솔제지,8370,1.09
20250423,조선,010140,삼성중공업,14300,1.42
20250423,조선,042660,한화오션,79900,1.14
20250423,조선,329180,HD현대중공업,367000,0.96
20250423,증권,006800,미래에셋증권,10245,3.31
20250423,증권,039490,키움증권,127300,0.95
20250423,증권,071050,한국금융지주,76100,3.12
20250423,지주사,003550,LG,64800,2.05
20250423,지주사,028260,삼성물산,117600,1.55
20250423,지주사,034730,SK,131200,2.1
20250423,철강,001430,세아베스틸지주,17510,1.98
20250423,철강,004020,현대제철,23950,3.01
20250423,철강,005490,POSCO홀딩스,260000,3.17
20250423,타이어,002350,넥센타이어,5270,2.13
20250423,타이어,073240,금호타이어,4595,2.0
20250423,타이어,161390,한국타이어앤테크놀로지,39950,2.04
20250423,태양광,009830,한화솔루션,23950,1.27
20250423,태양광,010060,OCI홀딩스,67200,1.97
20250423,태양광,011930,신성이엔지,1446,-9.4
20250423,통신,017670,SK텔레콤,57600,-2.04
20250423,통신,030200,KT,49700,0.91
20250423,통신,032640,LG유플러스,11700,0.09
20250423,편의점_마트,007070,GS리테일,14390,3.08
20250423,편의점_마트,139480,이마트,86400,-2.15
