ticker,name,sector,fy,ocf,capex_ppe,capex_intangible,capex,fcf,depr,marcap,pfr
041520,이엘씨,기타,2025,-7531718673.0,8576656645.0,95970000.0,8672626645.0,-16204345318.0,3654437758.0,153821772600.0,
038290,마크로젠,기타,2025,22347253986.0,35283313799.0,757936405.0,36041250204.0,-13693996218.0,,152863740000.0,
105330,케이엔더블유,기타,2025,-1743980856.0,91365277908.0,-1450000.0,91363827908.0,-93107808764.0,6633802104.0,152826220800.0,
003830,대한화섬,기타,2025,-4900198307.0,6638710105.0,25000000.0,6663710105.0,-11563908412.0,948218909.0,152720000000.0,
148150,세경하이테크,기타,2025,14563804916.0,71443524253.0,389964433.0,71833488686.0,-57269683770.0,22422818144.0,152478689220.0,
272550,삼양패키징,기타,2025,48274543434.0,43421244395.0,288344950.0,43709589345.0,4564954089.0,,152341584660.0,33.37
002230,피에스텍,기타,2025,19125728191.0,1302603692.0,10970700.0,1313574392.0,17812153799.0,,151887198400.0,8.53
217270,넵튠,기타,2025,8914442960.0,453937917.0,645724400.0,1099662317.0,7814780643.0,,151657161535.0,19.41
129920,대성하이텍,기타,2025,-4788624940.0,,,0.0,-4788624940.0,,151600333680.0,
365330,에스와이스틸텍,기타,2025,-9890783428.0,3674167164.0,1750000.0,3675917164.0,-13566700592.0,,151265565000.0,
408920,메쎄이상,기타,2025,19722105537.0,289155613.0,92059091.0,381214704.0,19340890833.0,2211253818.0,150881267950.0,7.8
067280,멀티캠퍼스,기타,2025,43552902405.0,703386434.0,2092687994.0,2796074428.0,40756827977.0,,150836525550.0,3.7
300080,플리토,기타,2025,10006595983.0,,,0.0,10006595983.0,,150364658610.0,15.03
003100,선광,기타,2025,67671350964.0,73842424035.0,1864480.0,73844288515.0,-6172937551.0,,150150000000.0,
338220,뷰노,의료AI,2025,-4675991674.0,,,0.0,-4675991674.0,,149819506100.0,
014280,금강공업,기타,2025,21874636165.0,45457797261.0,2390939978.0,47848737239.0,-25974101074.0,72407246461.0,149286427130.0,
021080,에이티넘인베스트,기타,2025,39767670861.0,,0.0,0.0,39767670861.0,,149280000000.0,3.75
107600,새빗켐,2차전지_리사이클링,2025,-12626072794.0,648287080.0,6120000.0,654407080.0,-13280479874.0,,149203233300.0,
333430,일승,기타,2025,6728919161.0,277542279.0,0.0,277542279.0,6451376882.0,,149024722950.0,23.1
032940,원익,기타,2025,1086643243.0,11138946021.0,142633021.0,11281579042.0,-10194935799.0,,149002553700.0,
093190,빅솔론,기타,2025,-4060777704.0,4487766537.0,73181619.0,4560948156.0,-8621725860.0,,148909124700.0,
214390,경보제약,기타,2025,7455545863.0,41538221191.0,75961540.0,41614182731.0,-34158636868.0,,148700669200.0,
000700,유수홀딩스,기타,2025,34135726605.0,2225018190.0,812887591.0,3037905781.0,31097820824.0,,148698746520.0,4.78
093640,케이알엠,기타,2025,-4152290409.0,1927302100.0,66323196.0,1993625296.0,-6145915705.0,,148509902070.0,
263860,지니언스,기타,2025,6032941125.0,280090728.0,32276509.0,312367237.0,5720573888.0,,148360664000.0,25.93
023600,삼보판지,기타,2025,55743264674.0,40573117209.0,,40573117209.0,15170147465.0,,148236858000.0,9.77
086670,비엠티,기타,2025,10149638624.0,10912104814.0,72120396.0,10984225210.0,-834586586.0,,148193463050.0,
323990,박셀바이오,기타,2025,-10627367068.0,,,0.0,-10627367068.0,,148149287650.0,
005990,매일홀딩스,기타,2025,73199585775.0,29610209594.0,9888737778.0,39498947372.0,33700638403.0,,147877140480.0,4.39
004970,신라교역,기타,2025,-13055426424.0,17746075248.0,552193440.0,18298268688.0,-31353695112.0,,147840000000.0,
004960,한신공영,기타,2025,22386315459.0,1442768675.0,336370771.0,1779139446.0,20607176013.0,8903841166.0,147757864540.0,7.17
298000,효성화학,기타,2025,-85023022547.0,43945126736.0,57299815.0,44002426551.0,-129025449098.0,,147501447900.0,
037070,파세코,기타,2025,14065166120.0,2910835665.0,502439525.0,3413275190.0,10651890930.0,,147000000000.0,13.8
012800,대창,기타,2025,-16886151569.0,7106125385.0,93430000.0,7199555385.0,-24085706954.0,,146736203390.0,
013520,화승코퍼레이션,기타,2025,159811772702.0,61779391542.0,2345672273.0,64125063815.0,95686708887.0,49118742548.0,145649143320.0,1.52
047560,이스트소프트,기타,2025,-17681732543.0,2528112458.0,818464425.0,3346576883.0,-21028309426.0,4363135344.0,145385624340.0,
066430,아이로보틱스,기타,2025,1414797610.0,4386652522.0,42112950.0,4428765472.0,-3013967862.0,,144672093820.0,
010100,한국무브넥스,기타,2025,43150833788.0,44275315645.0,107566609.0,44382882254.0,-1232048466.0,42730351765.0,144487242900.0,
262260,에이프로,기타,2025,24477528275.0,6731615813.0,,6731615813.0,17745912462.0,,144443982800.0,8.14
136540,윈스테크넷,기타,2025,16118088520.0,638721410.0,202022885.0,840744295.0,15277344225.0,,144409812960.0,9.45
015890,태경산업,기타,2025,73423231338.0,26862256582.0,1107327929.0,27969584511.0,45453646827.0,,144243881250.0,3.17
094280,효성ITX,기타,2025,35145692389.0,12380577869.0,1388135069.0,13768712938.0,21376979451.0,28241437965.0,144130754000.0,6.74
069510,에스텍,기타,2025,42080165636.0,10799634864.0,241375958.0,11041010822.0,31039154814.0,,144121100000.0,4.64
086960,MDS테크,기타,2025,16117117994.0,1783724606.0,2256284055.0,4040008661.0,12077109333.0,,143974772840.0,11.92
388790,라이콤,기타,2025,-951259572.0,216816568.0,2133637.0,218950205.0,-1170209777.0,,143274268800.0,
020120,키다리스튜디오,기타,2025,21344755624.0,658640363.0,8631777121.0,9290417484.0,12054338140.0,,143066136760.0,11.87
089470,HDC현대EP,기타,2025,18472059299.0,10479077137.0,3129948.0,10482207085.0,7989852214.0,,142912000000.0,17.89
217820,원익피앤이,기타,2025,61370436365.0,1529758769.0,1343072013.0,2872830782.0,58497605583.0,11055216441.0,142838222590.0,2.44
067990,도이치모터스,기타,2025,181513816810.0,40782004219.0,1171083622.0,41953087841.0,139560728969.0,,142697779500.0,1.02
013310,아진산업,기타,2025,-8726553172.0,226896249169.0,308158000.0,227204407169.0,-235930960341.0,,142420155940.0,
